Pkg count,Package names,Imported name,Imported signature
16,"bignum, bufferutil, canvas, couchbase, ffi, images, kerberos, lame, leveldown, libxmljs, midi, nodegit, protagonist, serialport, utf-8-validate, websocket",v8::Value::ToObject,public: class v8::Local<class v8::Object> __cdecl v8::Value::ToObject(void)const __ptr64
15,"bcrypt, bufferutil, canvas, hiredis, images, kerberos, lame, leveldown, libxmljs, lwip, serialport, sqlite3, utf-8-validate, websocket, zmq",node::Buffer::Length,unsigned __int64 __cdecl node::Buffer::Length(class v8::Local<class v8::Object>)
15,"bignum, couchbase, deasync, ffi, iconv, kerberos, lame, leveldown, libxmljs, microtime, midi, node-hid, speaker, sqlite3, zmq",v8::Value::ToInteger,public: class v8::MaybeLocal<class v8::Integer> __cdecl v8::Value::ToInteger(class v8::Local<class v8::Context>)const __ptr64
15,"bcrypt, bignum, canvas, couchbase, hiredis, kerberos, leveldown, libxmljs, mmmagic, node-hid, nodegit, protagonist, serialport, sqlite3, zmq",v8::Value::ToString,public: class v8::Local<class v8::String> __cdecl v8::Value::ToString(void)const __ptr64
14,"bcrypt, canvas, couchbase, ffi, iconv, kerberos, lame, libxmljs, midi, node-hid, node-sass, nodegit, ref, speaker",v8::Integer::NewFromUnsigned,"public: static class v8::Local<class v8::Integer> __cdecl v8::Integer::NewFromUnsigned(class v8::Isolate * __ptr64,unsigned int)"
14,"bignum, canvas, couchbase, fibers, iconv, images, libxmljs, midi, mmmagic, node-sass, nodegit, protagonist, ref, serialport",v8::String::Utf8Value::Utf8Value,public: __cdecl v8::String::Utf8Value::Utf8Value(class v8::Local<class v8::Value>) __ptr64
14,"canvas, couchbase, fibers, kerberos, leveldown, libxmljs, mmmagic, node-hid, node-sass, nodegit, protagonist, serialport, sqlite3, zmq",v8::Value::IsFunction,public: bool __cdecl v8::Value::IsFunction(void)const __ptr64
13,"bignum, canvas, couchbase, iconv, images, libxmljs, midi, mmmagic, node-sass, nodegit, protagonist, ref, serialport",v8::String::Utf8Value::~Utf8Value,public: __cdecl v8::String::Utf8Value::~Utf8Value(void) __ptr64
12,"bufferutil, canvas, kerberos, leveldown, libxmljs, node-hid, node-sass, nodegit, protagonist, sqlite3, websocket, zmq",v8::Array::Length,public: unsigned int __cdecl v8::Array::Length(void)const __ptr64
12,"bufferutil, canvas, ffi, lame, leveldown, libxmljs, midi, mmmagic, node-hid, serialport, speaker, websocket",v8::Value::Int32Value,public: int __cdecl v8::Value::Int32Value(void)const __ptr64
11,"bcrypt, bufferutil, canvas, couchbase, kerberos, leveldown, node-hid, nodegit, protagonist, websocket, zmq",v8::Object::Get,public: class v8::Local<class v8::Value> __cdecl v8::Object::Get(unsigned int) __ptr64
